id,restaurant,address,votes,link,Zipcode
23,Promenadeplatz,Promenadeplatz 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120336.html,80333
24,Reichenbachbrücke,Fraunhoferstr. 46,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120318.html,80469
25,Rindermarkt,Rindermarkt 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120333.html,80331
26,Rotkreuzplatz,Rotkreuzplatz,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120342.html,80634
27,St. Jakobs Platz,,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/1218705.html,80331
28,Stiglmaierplatz,Stiglmaierplatz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/120319.html,80335
29,Viktualienmarkt,Viktualienmarkt,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120340.html,80331
30,Weißenburger Platz,Weißenburger Platz,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120331.html,81667
31,Wiener Platz,Innere Wiener Str. 19,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120348.html,81667
32,Wittelsbacherplatz,Wittelsbacherplatz,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120332.html,80333
33,Alter Messeplatz,Alter Messeplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120282.html,80339
34,Alter-Sankt-Georgs-Platz,Alter-Sankt-Georgs-Platz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120275.html,80809
35,Am Harras,Am Harras 13,2,https://www.muenchen.de/sehenswuerdigkeiten/orte/178419.html,81369
36,Anhalter Platz,Anhalter Platz 1,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120285.html,80809
37,Avenariusplatz,Avenariusplatz,0,https://www.muenchen.de/sehenswuerdigkeiten/orte/120291.html,81243
